"Date","ExitSpeed","Angle","PlayResult","key","url"
"5/17/2018",106.44126716376,23.680752923956,"HomeRun","VATUNC051718 04) 04 02","https://s3.amazonaws.com/publicuncsynergyvideo/VATUNC051718/VATUNC051718 04) 04 02.mp4"
"5/8/2018",105.38977810152,5.599628334522,"Single","RICUNC050818 04) 02 03","https://s3.amazonaws.com/publicuncsynergyvideo/RICUNC050818/RICUNC050818 04) 02 03.mp4"
"4/25/2018",105.00845172512,21.136473666164,"Double","WCCUNC042518 07) 02 05","https://s3.amazonaws.com/publicuncsynergyvideo/WCCUNC042518/WCCUNC042518 07) 02 05.mp4"
"3/30/2018",104.88856043624,32.832524443774,"Out","WAFUNC033018 09) 03 01","https://s3.amazonaws.com/publicuncsynergyvideo/WAFUNC033018/WAFUNC033018 09) 03 01.mp4"
"4/21/2018",104.55110811432,22.587104166758,"Double","GATUNC042118 04) 03 01","https://s3.amazonaws.com/publicuncsynergyvideo/GATUNC042118/GATUNC042118 04) 03 01.mp4"
"5/1/2018",104.25658145528,11.628640912636,"Double","NCAUNC050118 05) 07 01","https://s3.amazonaws.com/publicuncsynergyvideo/NCAUNC050118/NCAUNC050118 05) 07 01.mp4"
"3/2/2018",103.43336295584,24.78908226457,"Out","LIBUNC030218 06) 02 04","https://s3.amazonaws.com/publicuncsynergyvideo/LIBUNC030218/LIBUNC030218 06) 02 04.mp4"
"5/17/2018",103.31999368304,6.190272066326,"Single","VATUNC051718 02) 05 03","https://s3.amazonaws.com/publicuncsynergyvideo/VATUNC051718/VATUNC051718 02) 05 03.mp4"
"4/1/2018",103.26033255608,25.045906845542,"HomeRun","WAFUNC040118 08) 01 03","https://s3.amazonaws.com/publicuncsynergyvideo/WAFUNC040118/WAFUNC040118 08) 01 03.mp4"
"5/19/2018",102.7062238208,-6.540978671288,"Error","VATUNC051918 08) 02 04","https://s3.amazonaws.com/publicuncsynergyvideo/VATUNC051918/VATUNC051918 08) 02 04.mp4"
"4/21/2018",102.45328048576,14.602862415396,"Single","GATUNC042118 07) 01 04","https://s3.amazonaws.com/publicuncsynergyvideo/GATUNC042118/GATUNC042118 07) 01 04.mp4"
"3/4/2018",102.2358215872,22.345859271686,"Double","LIBUNC030418 04) 05 04","https://s3.amazonaws.com/publicuncsynergyvideo/LIBUNC030418/LIBUNC030418 04) 05 04.mp4"
"3/23/2018",102.02390713184,12.118321144074,"Single","FSUUNC032318 01) 09 04","https://s3.amazonaws.com/publicuncsynergyvideo/FSUUNC032318/FSUUNC032318 01) 09 04.mp4"
"5/8/2018",101.669996568,-0.071888727348,"Out","RICUNC050818 02) 01 04","https://s3.amazonaws.com/publicuncsynergyvideo/RICUNC050818/RICUNC050818 02) 01 04.mp4"
"5/1/2018",101.59584693552,21.095421788462,"Out","NCAUNC050118 03) 01 03","https://s3.amazonaws.com/publicuncsynergyvideo/NCAUNC050118/NCAUNC050118 03) 01 03.mp4"
"3/3/2018",101.168660718536,26.053441564828,"HomeRun","LIBUNC030318 04) 01 04","https://s3.amazonaws.com/publicuncsynergyvideo/LIBUNC030318/LIBUNC030318 04) 01 04.mp4"
"4/21/2018",100.960014566536,4.423894850544,"Single","GATUNC042118 02) 02 06","https://s3.amazonaws.com/publicuncsynergyvideo/GATUNC042118/GATUNC042118 02) 02 06.mp4"
"5/9/2018",100.480999478144,-7.7289689677,"Single","UNCCOA050918 05) 01 07","https://s3.amazonaws.com/publicuncsynergyvideo/UNCCOA050918/UNCCOA050918 05) 01 07.mp4"
"5/9/2018",100.4807135016,-7.728971346278,"Single","UNCCOA050918 05( 01 06","https://s3.amazonaws.com/publicuncsynergyvideo/UNCCOA050918/UNCCOA050918 05( 01 06.mp4"
"5/18/2018",100.077870308392,27.180583078844,"Out","VATUNC051818 01) 08 03","https://s3.amazonaws.com/publicuncsynergyvideo/VATUNC051818/VATUNC051818 01) 08 03.mp4"
