"Pitcher","TaggedPitchType","HorzBreak","InducedVertBreak"
"Baum, Tyler","CH",13.1473121194504,8.98439120821755
"Baum, Tyler","CU",-3.25924622023048,-4.36526786447186
"Baum, Tyler","FB",12.1260708367,11.6567344513909
"Bergner, Austin","CH",13.9042321127493,9.08346916095774
"Bergner, Austin","CU",-4.28181673386157,-9.64016795625484
"Bergner, Austin","FB",12.9045271427427,13.5500918733662
"Bergner, Austin","SL",8.58032214285714,10.4888242857143
"Blendinger, Kyle","CH",13.5576571657286,3.00878335332143
"Blendinger, Kyle","FB",13.2630130817199,9.67810517003525
"Blendinger, Kyle","SL",-8.85858212461277,-4.27620536857872
"Butler, Hansen","CH",11.0078632900599,6.4380253699447
"Butler, Hansen","CU",-5.07162130635069,-15.7251009785243
"Butler, Hansen","FB",5.19460595121732,16.9533630018438
"Butler, Hansen","SL",-3.338703,-16.1606
"Casparius, Ben","CH",13.97668075,7.10957364027778
"Casparius, Ben","CU",-10.1285773269231,-3.92427139769231
"Casparius, Ben","FB",11.1235009606299,14.6307194976378
"Casparius, Ben","FT",14.66414775,9.05912455555556
"Casparius, Ben","SL",-9.67645966,-2.192070851
"Dalatri, Luca","CH",9.6870039019351,9.77751687987437
"Dalatri, Luca","CU",-7.10462630138486,-4.31664386756361
"Dalatri, Luca","FB",9.80552789159276,14.4340049870203
"Dalatri, Luca","SL",-4.27032091995611,11.1635260749735
"Dotson, Josh","CH",12.6871310630746,9.38999699117911
"Dotson, Josh","CU",-11.4493005504545,-14.520744530101
"Dotson, Josh","FB",10.3546559986875,12.6690561508385
"Dotson, Josh","FT",13.2634330909091,11.4778704545455
"Elliott, Austin","CH",5.439191625,14.76372125
"Elliott, Austin","CU",-6.12854176923077,-7.25228415384615
"Elliott, Austin","FB",4.00522542961207,17.7489204966638
"Elliott, Austin","SL",-6.86590161557778,-8.6129484388
"Grogan, Andrew","CH",9.74589370071622,9.08623555925676
"Grogan, Andrew","FB",10.9695518557853,7.80040371719209
"Grogan, Andrew","SL",-5.98583732339706,0.511001650529412
"Lancellotti, Joey","CH",10.4592009673913,9.84721958804348
"Lancellotti, Joey","FB",6.79805632112769,13.4556348229569
"Lancellotti, Joey","SL",-4.10602448325185,0.718202179390123
"Love, Austin","CH",8.64394121614932,10.3374003798643
"Love, Austin","CU",-4.08034872857143,-2.87320549642857
"Love, Austin","FB",7.23243481308609,13.0113011771148
"Love, Austin","SL",-3.94878601183249,1.93322108938579
"Maniglia, Casey","CH",12.3007858992,10.0374661678
"Maniglia, Casey","FB",12.6336677910615,10.5881813078308
"Maniglia, Casey","SL",-7.93817391917391,-5.28116344773913
"Nance, Bennett","CH",-12.142604,9.4373744
"Nance, Bennett","FB",-7.48898151359184,15.341006472585
"Nance, Bennett","SL",-0.78650920623077,-0.0213519328269231
"O'Brien, Caden","CH",-9.55926433396804,10.8232233535297
"O'Brien, Caden","FB",-4.11876319723878,16.3589394595658
"O'Brien, Caden","SL",4.62783286298291,-0.325792643367521
"Ollio, Connor","CH",9.41492498389157,10.1240277836145
"Ollio, Connor","CU",-11.1275022222222,-2.40870326111111
"Ollio, Connor","FB",4.03395014002273,15.0918198441648
"Ollio, Connor","SL",-4.35767088342045,1.21066327051136
"Palermo, Davis","CH",8.26066679760714,12.5398904718929
"Palermo, Davis","FB",7.63717766005023,16.6004930391826
"Palermo, Davis","SL",-3.36688121262295,-2.96824801393443
"Pelli, Stephen","CH",11.7661205,9.81732225
"Pelli, Stephen","FB",8.9306466,15.0737186666667
"Pelli, Stephen","SL",-4.0527735,-3.43141845
"Pry, Nik","CH",7.99191585259211,8.89652251682895
"Pry, Nik","FB",11.8921177296046,15.0810355787643
"Pry, Nik","SL",-4.27114024911656,-2.89823944762577
"Sandy, Will","CH",-11.6978877014435,9.94541129899194
"Sandy, Will","CU",-2.1655363375,-2.73741
"Sandy, Will","FB",-11.3447982588127,15.3449026801025
"Sandy, Will","SL",-1.13004157320769,-4.03410119933077
